geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,seqnames,start,end,strand,gene_name,gene_biotype
ENSG00000000003,708.597861536998,-0.37882289868294,0.173154927954621,-2.18776850972569,0.028686468790439,0.138469547254504,X,100627108,100639991,-,TSPAN6,protein_coding
ENSG00000000419,520.296296925274,0.203789263335781,0.10074223403664,2.02287814325879,0.043085712497044,0.182997560781544,20,50934867,50959140,-,DPM1,protein_coding
ENSG00000000457,237.162103834464,0.0340630645761074,0.126475654085333,0.269325071472847,0.787679540484949,0.929804639248103,1,169849631,169894267,-,SCYL3,protein_coding
ENSG00000000460,57.9323803212894,-0.117156354291183,0.30158264274945,-0.388471807339772,0.697666913567465,0.894230812806752,1,169662007,169854080,+,C1orf112,protein_coding
ENSG00000000971,5817.31081674539,0.440979295581746,0.258775626538167,1.70409903545033,0.0883625868075196,0.29704217525748,1,196651754,196752476,+,CFH,protein_coding
ENSG00000001036,1282.10068817841,-0.241909676425832,0.119712757740147,-2.02075101261078,0.043305546201706,0.183497590837189,6,143494812,143511720,-,FUCA2,protein_coding
ENSG00000001084,609.888711231609,-0.0295995882490818,0.231575476613689,-0.127818319460741,0.898292752147334,0.970306036347701,6,53497341,53616970,-,GCLC,protein_coding
ENSG00000001167,369.340563608024,-0.489601634469509,0.210924783811779,-2.32121434770041,0.0202752782077683,0.107661259572103,6,41072974,41102403,+,NFYA,protein_coding
ENSG00000001460,183.236892721017,-0.133360427238168,0.165262125702707,-0.806963039299595,0.41968777776703,0.716468937385728,1,24356999,24416934,-,STPG1,protein_coding
ENSG00000001461,2813.83742255416,-0.0427102474467525,0.291099860545836,-0.14672026076092,0.883352825898156,0.963852716058218,1,24415802,24472976,+,NIPAL3,protein_coding
ENSG00000001497,539.821574730882,-0.00245901427607295,0.0981122432793859,-0.0250632764462496,0.980004492124769,0.99476718146732,X,65438549,65534810,-,LAS1L,protein_coding
ENSG00000001561,114.037077799749,0.269617587215131,0.864551614966547,0.311858288791194,0.755148223378137,0.917917298050136,6,46129989,46146688,+,ENPP4,protein_coding
ENSG00000001617,598.664307018364,-0.247532222084936,0.171235098933671,-1.4455694167048,0.148298009842801,0.408573885585754,3,50155045,50189075,+,SEMA3F,protein_coding
ENSG00000001626,5.76493538185727,-1.05603403005657,0.638825475449388,-1.65308690814764,0.098313177378455,0.3179429847119,7,117287120,117715971,+,CFTR,protein_coding
ENSG00000001629,1779.81786317606,-0.226219900909484,0.13167603102486,-1.71800364233924,0.0857959509152799,0.290910041632274,7,92245974,92401383,+,ANKIB1,protein_coding
ENSG00000001630,54.727467682366,0.0122600954125225,0.300792852620542,0.0407592644097461,0.967487814644746,0.991246036808643,7,92084987,92134803,-,CYP51A1,protein_coding
ENSG00000001631,785.449616737739,-0.0363539874309007,0.10801670830888,-0.336558926855506,0.736449423145735,0.911160718034716,7,92197498,92246166,-,KRIT1,protein_coding
ENSG00000002016,183.859639860491,-0.308475384971269,0.16097112232532,-1.91633990317745,0.0553218448859607,0.217984989632733,12,911736,990053,-,RAD52,protein_coding
ENSG00000002079,1.42772730704924,-2.03267103250431,1.56446041307706,-1.29927930135755,0.193848095122219,NA,7,99238829,99311130,+,MYH16,transcribed_unitary_pseudogene
ENSG00000002330,178.056083595009,0.0899977385564477,0.145155845980042,0.620007674846399,0.535252734077316,0.798367671890123,11,64269830,64284704,-,BAD,protein_coding
ENSG00000002549,1253.6302802743,0.180144676648665,0.167412410322008,1.07605330036267,0.281903419493675,0.587844125237914,4,17577198,17607972,+,LAP3,protein_coding
ENSG00000002586,8285.39793029793,0.0881714412718212,0.122413195006408,0.720277264776938,0.471354299977162,0.754998706555549,X,2691187,2741309,+,CD99,protein_coding
ENSG00000002745,6.89982954221215,-0.282449053729323,0.967489233999617,-0.291940255047257,0.770332304405125,0.923291770753652,7,121325367,121341104,+,WNT16,protein_coding
ENSG00000002746,108.44215151566,0.112567072585117,0.296131415991262,0.380125398746748,0.703852332907047,0.897081958728435,7,43112629,43566001,+,HECW1,protein_coding
ENSG00000002822,349.806186146653,-0.157584229968738,0.133787991695787,-1.17786527752849,0.238850319650297,0.539419749369663,7,1815793,2233243,-,MAD1L1,protein_coding
ENSG00000002834,7168.80172554647,0.398604510625822,0.102411413107621,3.89218836583127,9.93440641518733e-05,0.00152588118612548,17,38869859,38921770,+,LASP1,protein_coding
ENSG00000002919,250.507676868456,0.391428877300707,0.147019761375792,2.66242356563339,0.00775801867812028,0.0521972648730672,17,48103357,48123601,+,SNX11,protein_coding
ENSG00000002933,540.277871458637,0.402514945767811,1.42162580981726,0.283137055467185,0.777071777123899,0.925756255317693,7,150800403,150805118,+,TMEM176A,protein_coding
ENSG00000003056,1065.26652768511,-0.071345589148377,0.0917129126499817,-0.777923054528475,0.436614376068745,0.730005198985267,12,8940361,8949761,-,M6PR,protein_coding
ENSG00000003096,377.975261226872,-0.92016824710133,0.187042814719419,-4.91955945210548,8.6739219710732e-07,2.42751174919928e-05,X,117897813,118117340,-,KLHL13,protein_coding
ENSG00000003137,104.515194808615,-1.13963840928165,0.543752960159508,-2.09587531982784,0.0360932525834195,0.162525265913259,2,72129238,72147862,-,CYP26B1,protein_coding
ENSG00000003249,116.349026825881,-0.322592057583394,0.323046911425862,-0.998591988264305,0.317992382808638,0.626226377600327,16,90004871,90019890,-,DBNDD1,protein_coding
ENSG00000003393,851.090875287858,0.173188860544466,0.157343208832165,1.10070756678925,0.27102395193113,0.575652373104009,2,201700267,201782112,-,ALS2,protein_coding
ENSG00000003400,80.1567179115993,-0.388709621143471,0.370674614649664,-1.04865454978851,0.29433713966844,0.601044403082094,2,201182872,201229428,+,CASP10,protein_coding
ENSG00000003402,2546.60932638954,1.18344751825219,0.163539128949711,7.23647928084602,4.60481974686122e-13,5.47082294441609e-11,2,201116154,201176687,+,CFLAR,protein_coding
ENSG00000003436,4469.50766637531,-0.209181774207187,0.191602044746321,-1.0917512622798,0.27494244655559,0.579563318832555,2,187464230,187565760,-,TFPI,protein_coding
ENSG00000003509,290.814036626452,-0.0527192210396254,0.124104586725266,-0.424796717274692,0.670984870942183,0.87955216123382,2,37231631,37253403,+,NDUFAF7,protein_coding
ENSG00000003756,2117.4540032691,-0.185984242687211,0.090821998573264,-2.04778848306428,0.0405807293221669,0.175297708296435,3,50088919,50119021,+,RBM5,protein_coding
ENSG00000003987,25.5043393924387,0.988115134809416,0.327203673807437,3.01987787395974,0.00252876628844535,0.0221537731692298,8,17296794,17413528,-,MTMR7,protein_coding
ENSG00000003989,38.4395982983182,0.674485895530715,0.670815550460344,1.00547146688513,0.314669882079509,0.623013570332818,8,17497088,17570573,+,SLC7A2,protein_coding
ENSG00000004059,1225.35049139531,0.369228733492894,0.104190191555576,3.54379551453212,0.000394411022195049,0.00492412133811649,7,127588386,127591700,+,ARF5,protein_coding
ENSG00000004139,84.8823311299562,-0.163655573332597,0.181455640229347,-0.901904030790929,0.367107849974566,0.672598851585079,17,28364356,28404049,+,SARM1,protein_coding
ENSG00000004142,1460.1152046866,0.147104290171483,0.124780573546835,1.17890378277729,0.238436491284754,0.538881687163567,17,28346633,28357527,-,POLDIP2,protein_coding
ENSG00000004399,3634.48000337917,-0.0128799239797017,0.238578949100659,-0.0539860034938268,0.956946315573124,0.988068661825608,3,129555214,129606676,-,PLXND1,protein_coding
ENSG00000004455,1224.83463534404,0.0516855709727546,0.167721624772856,0.308162832567071,0.757958432430976,0.919244239542704,1,33007986,33080996,-,AK2,protein_coding
ENSG00000004468,1.31743599562979,-1.3311379724328,1.43344242729375,-0.928630231034748,0.353080749265642,NA,4,15778275,15853232,+,CD38,protein_coding
ENSG00000004478,466.434730395202,-0.0698876093414453,0.122456898000992,-0.570711903390522,0.568194948589534,0.818396150809738,12,2794970,2805423,+,FKBP4,protein_coding
ENSG00000004487,1237.79398066331,-0.298877922412424,0.0830253341037215,-3.59984004447417,0.000318412990876562,0.00409181802302296,1,23019443,23083689,+,KDM1A,protein_coding
ENSG00000004534,1285.22373211664,-0.191936916308118,0.13760175821565,-1.39487255684127,0.163054274062716,0.431228559078689,3,49940007,50100045,+,RBM6,protein_coding
