,logFC,logCPM,LR,PValue
NR_002819,-0.179107093307283,15.0742136289886,0.0970080244442215,0.755450101578534
NM_133378,-5.87240524445655,14.5130833600085,27.3755308138791,1.67537810635691e-07
NR_004380,-0.425373296666965,14.1825692361496,0.543819065416756,0.460854277314947
NR_002563,-0.572986597431541,14.0437032398804,0.957250300792111,0.327880636191987
NR_002564,-0.284342372413985,14.0681835954584,0.189708225909271,0.663159569541979
NM_153490,-5.59536480346385,13.9308367358475,22.6537008584492,1.93986218407625e-06
NR_002802,-0.150046050458293,13.4808153180537,0.0787106170628249,0.779052406204468
NM_000090,0.311380586176764,12.849500866232,0.119302966511119,0.72979171145767
NR_002746,-0.198172194069898,13.2515763452106,0.134319010000127,0.713995310348726
NR_003701,-0.10452768496483,13.2082017965208,0.0308772638582013,0.860514491101994
NR_002573,-0.103725772555976,13.2060086679358,0.0304277073360026,0.861523298822623
NR_000019,-0.417452072981257,13.0285232423142,0.655565289242077,0.418129942544619
NM_000424,0.0451242560612788,12.9276922914402,0.0052808690124948,0.942069049844623
NR_002571,-0.133205332405885,12.8182698127498,0.0544008223914716,0.81557517192226
NR_002750,1.26036649750891,12.7665734028156,1.90272287426615,0.167773859191984
NR_003941,1.31915001961383,12.677273062188,4.66262439031493,0.0308260402192011
NR_004378,0.600139364729713,12.7733199738345,0.884547993045089,0.346959039152721
NR_003057,0.794810677157935,12.8205974441509,0.602837156391615,0.43749756532671
NM_000985,-0.729259050083424,12.4465074126963,1.86767981821231,0.171741049519418
NR_002572,-0.729807014656526,12.4438940947479,1.86930454509684,0.171554752072516
NR_003077,0.16618059240613,12.4659444945183,0.0821120556302048,0.774455362840421
NM_000088,1.07730644416918,11.9676126765823,0.957801961898895,0.327741293894812
NR_000008,0.626349216441472,12.3981384825524,0.58145539389534,0.445742417784264
NM_005554,-0.536684234605326,12.1768062079429,0.703512823172332,0.401605846252738
NR_002591,-0.0606482642630883,12.2614479533412,0.0106341983200764,0.917865946697333
NR_001457,-0.481784604195379,12.0741340080371,0.606675282011565,0.436042378453923
NM_001620,-0.123093768811119,11.890407930016,0.0573989805134261,0.810655217082259
NR_000024,-0.785863520001405,12.0520317776797,0.685265482403338,0.407779449464883
NM_004415,0.179841467498801,11.897118256164,0.0876998511068905,0.767121940837771
NR_000028,-0.0363312530943134,11.8120375968977,0.0019772834775722,0.964532430495648
NR_002561,-0.360048772839359,11.877988969785,0.324183822200212,0.569104103033085
NR_002976,-0.443073965120539,11.7582516109457,0.53395480220405,0.464948907672277
NR_002745,0.482601515543803,11.8597622354833,0.574503438934698,0.448474898669926
NM_000526,0.0640434639151155,11.5133771699278,0.0146048309774756,0.903809490526062
NR_000020,-0.357155986663921,11.6528937926415,0.497404446453402,0.480642811366719
NM_002272,-7.17598128465178,11.7855854770463,19.3249599990559,1.10255618381252e-05
NR_002989,0.407927315688123,11.6796045838407,0.26797418735805,0.604693953054571
NM_005557,-0.0336166918628153,11.4524364829065,0.0040454618408603,0.949285590316013
NR_003672,0.045444295895619,11.5237086897671,0.0047857906072295,0.944846813200806
NR_003036,-0.0225099125040211,11.4033117241151,0.00150079723789531,0.969097582767842
NM_000089,0.545532144506418,11.0508717329234,0.415395302902198,0.519243687500403
NR_000007,-0.251224611575931,11.529018333014,0.229154577485133,0.63215140626498
NR_002735,-0.920119262380508,11.4350776205262,2.95193941522189,0.0857745660351533
NR_003051,0.114257267428986,11.3936798023623,0.0302147497604892,0.8620038573352
NR_003033,-0.262979971759159,11.246088926566,0.267965826192949,0.604699588715084
NM_004543,-5.59902338944248,11.0810047839369,26.7627103527188,2.3003367993098e-07
NR_002441,-0.647010097899129,11.3011640088839,1.55942163489556,0.211749924130879
NR_000010,0.259560759520119,11.2813241595276,0.222856615588313,0.636871887908847
NR_003942,0.217237778927018,11.3446302135176,0.176415121684386,0.674472303106959
NR_002967,0.780027112900281,11.2862569788182,1.1268274532822,0.28845306187509
NR_000005,0.491651772359787,10.9725417937334,0.639709552160184,0.423815992097952
NM_006289,0.865050267970759,10.770200680446,1.0222844687853,0.311977738976893
NR_003688,0.226303448725493,11.3053005583908,0.151592405243036,0.697018220046755
NR_002447,-0.0133613404915448,11.177642245407,0.000537355015239882,0.98150595878603
NR_002977,0.106162550275973,11.0076271064136,0.0229052155323188,0.879703816854189
NR_002562,-0.674682012304309,11.1673605892698,1.450173368886,0.228500136044535
NR_003695,-0.346857339619437,11.0620600826217,0.312631204414629,0.576070043671086
NR_002439,0.665258500096956,11.0174943067808,1.65815171735153,0.197853060137518
NR_002975,0.0735926287132262,11.0758020469265,0.0127141376306099,0.910223221902082
NR_002744,0.620341294502437,10.9470184276641,1.15068785939047,0.283405202862133
NR_003078,-0.289727363250124,10.8885895601304,0.303375267234877,0.581774127949793
NR_000015,-0.641702700665687,10.8980984387211,1.69752568491685,0.192611881712216
NR_002587,0.349220155342363,10.91505645633,0.342527917358893,0.558373681927403
NR_002450,-0.0796105298533914,10.970999222151,0.0259182892624494,0.872100031268449
NR_000021,-0.453463025152962,10.8157887367788,0.862210133602048,0.353120939672796
NR_003074,-0.162556611220786,10.7952366227426,0.103513875380031,0.747652912643568
NM_201384,1.2558781593338,10.7147949469157,6.13298075400292,0.0132682990251795
NM_004369,0.247753702627804,10.3962653729922,0.143443876242998,0.704881055807245
NR_002913,-0.276857976348826,10.8775724249953,0.139786452978797,0.708493399249677
NR_003005,0.940343701380621,10.9303122191151,1.87784879808305,0.170578847417227
NR_002560,-0.275868782730858,10.8019947195079,0.166236227123591,0.683478686335211
NR_003054,0.0429363816473326,10.6998625696435,0.00739715572672139,0.931461075968023
NR_002604,0.504863390622127,10.6337026749778,0.970405456423578,0.32457908006033
NM_005416,-5.45077300481451,10.8778702746971,20.0703024618403,7.46468462354064e-06
NR_002749,-0.451975426677576,10.6763544969051,0.815037700919447,0.366635031967873
NM_000700,-2.45518188009117,10.8078634544461,15.2094328852476,9.62215796950033e-05
NR_003065,-0.0691887645244686,10.729273162047,0.00898601353219419,0.924477987265558
NR_003075,1.14035392790765,10.7077210617731,1.32994099635744,0.248815714862901
NR_002982,-1.01480942708295,10.6403580850652,2.38104127645991,0.122815659607674
NR_002437,0.719830530613845,10.6420394003835,1.35875095996596,0.243754068448384
NR_002592,-1.00021397392788,10.4011830440309,3.3548910790857,0.0670056434249542
NR_002312,0.0777611959814845,10.5676404030125,0.0133703780245469,0.907945507787153
NR_003072,-0.132736510165734,10.434219456245,0.0700965046876263,0.791196321264608
NR_003035,0.147176823690615,10.5363158601729,0.0584694300068804,0.80893162978467
NM_000299,0.504482056749636,10.5257117800707,0.913475683909638,0.339193896312363
NR_000027,0.175879447446559,10.3615360720557,0.107991535130694,0.742442433702864
NR_003205,-0.894794725643945,10.5304454734008,1.93585183737383,0.164119643847904
